"","cluster","type","scores","ncells"
"Stromal cell14","9","Stromal cell",-76.0988371115543,2866
"Myeolocyte14","9","Myeolocyte",-139.542581749514,2866
"Mk14","9","Mk",-177.24765315091,2866
"HSPC14","9","HSPC",-431.08726458793,2866
"NK14","9","NK",-661.626991724597,2866
"B cell14","9","B cell",-695.269735948715,2866
"Monocyte14","9","Monocyte",-1155.12679977807,2866
"T cell14","9","T cell",-2181.82721246533,2866
"Monocyte15","14","Monocyte",1719.1651582696,1308
"Myeolocyte15","14","Myeolocyte",189.413642341127,1308
"Mk15","14","Mk",9.78760267557678,1308
"Stromal cell15","14","Stromal cell",-50.934885009113,1308
"HSPC15","14","HSPC",-132.650009481836,1308
"NK15","14","NK",-217.683939846161,1308
"B cell15","14","B cell",-334.307003401328,1308
"EPC15","14","EPC",-600.613129951944,1308
"T cell15","14","T cell",-1071.9216143655,1308
"B cell16","19","B cell",872.186908320523,774
"Stromal cell16","19","Stromal cell",108.861779834983,774
"Mk16","19","Mk",-38.3500158044203,774
"Myeolocyte16","19","Myeolocyte",-63.2214663864205,774
"HSPC16","19","HSPC",-103.864023728908,774
"NK16","19","NK",-127.327170523363,774
"EPC16","19","EPC",-202.175765770051,774
"Monocyte16","19","Monocyte",-284.454598951148,774
"T cell16","19","T cell",-580.216326330538,774
"HSPC17","22","HSPC",870.020199833775,641
"Mk17","22","Mk",513.486736067648,641
"EPC17","22","EPC",280.773837060716,641
"Stromal cell17","22","Stromal cell",-11.4731802259119,641
"Myeolocyte17","22","Myeolocyte",-61.3407887137702,641
"NK17","22","NK",-144.363445917332,641
"B cell17","22","B cell",-162.411168257701,641
"Monocyte17","22","Monocyte",-248.774956001813,641
"T cell17","22","T cell",-524.85381577072,641
"NK18","26","NK",271.16529781995,262
"T cell18","26","T cell",31.1350521187683,262
"Stromal cell18","26","Stromal cell",0.724892896081588,262
"Mk18","26","Mk",-11.8754813397706,262
"HSPC18","26","HSPC",-39.6993735018716,262
"Myeolocyte18","26","Myeolocyte",-43.0105686189016,262
"B cell18","26","B cell",-59.7599862922004,262
"Monocyte18","26","Monocyte",-111.52471319024,262
"EPC18","26","EPC",-120.111578481384,262
"NK19","4","NK",6534.75234310924,4892
"T cell19","4","T cell",636.428164022714,4892
"Stromal cell19","4","Stromal cell",-243.77990458626,4892
"Mk19","4","Mk",-263.519092847707,4892
"HSPC19","4","HSPC",-831.862928505315,4892
"Myeolocyte19","4","Myeolocyte",-1139.65788557446,4892
"B cell19","4","B cell",-1306.27414357881,4892
"Monocyte19","4","Monocyte",-1983.39590863865,4892
"EPC19","4","EPC",-2360.17267946976,4892
"EPC20","20","EPC",2843.16463195168,763
"Stromal cell20","20","Stromal cell",-19.7270054660229,763
"Mk20","20","Mk",-52.0206718512832,763
"Myeolocyte20","20","Myeolocyte",-61.5720092444387,763
"HSPC20","20","HSPC",-99.3532808499956,763
"NK20","20","NK",-166.905508513098,763
"B cell20","20","B cell",-183.733282053543,763
"Monocyte20","20","Monocyte",-302.509265911296,763
"T cell20","20","T cell",-574.46938361412,763
"T cell21","16","T cell",871.975937733424,1223
"Myeolocyte21","16","Myeolocyte",310.049054377328,1223
"Stromal cell21","16","Stromal cell",-31.6236157027235,1223
"Mk21","16","Mk",-38.2740746107209,1223
"HSPC21","16","HSPC",-48.7671377221852,1223
"EPC21","16","EPC",-164.669131867879,1223
"B cell21","16","B cell",-235.878371539827,1223
"NK21","16","NK",-282.54684462393,1223
"Monocyte21","16","Monocyte",-385.842218190947,1223
"Mk22","29","Mk",642.757986269817,131
"Stromal cell22","29","Stromal cell",345.644617059917,131
"T cell22","29","T cell",22.3471497850371,131
"NK22","29","NK",-5.23728134593982,131
"Myeolocyte22","29","Myeolocyte",-12.4029377248252,131
"HSPC22","29","HSPC",-14.9307889441105,131
"B cell22","29","B cell",-35.235863922603,131
"Monocyte22","29","Monocyte",-41.9519373935104,131
"EPC22","29","EPC",-61.698109197731,131
"T cell23","7","T cell",1997.79800215901,3883
"Stromal cell23","7","Stromal cell",-132.568839720789,3883
"Mk23","7","Mk",-399.860074515295,3883
"HSPC23","7","HSPC",-641.911596476426,3883
"Myeolocyte23","7","Myeolocyte",-985.999593309451,3883
"NK23","7","NK",-1002.97950592468,3883
"B cell23","7","B cell",-1083.82867640601,3883
"EPC23","7","EPC",-1931.63861593559,3883
"Monocyte23","7","Monocyte",-2228.63893100392,3883
"T cell24","25","T cell",4.40390193376736,417
"EPC24","25","EPC",-6.08016572175807,417
"Stromal cell24","25","Stromal cell",-20.1028616851008,417
"Mk24","25","Mk",-26.9797811387338,417
"NK24","25","NK",-32.444978805111,417
"Myeolocyte24","25","Myeolocyte",-55.049759887552,417
"HSPC24","25","HSPC",-65.2575864831182,417
"B cell24","25","B cell",-99.5308696350674,417
"Monocyte24","25","Monocyte",-194.799130644211,417
"T cell25","5","T cell",3848.43124733807,4679
"Stromal cell25","5","Stromal cell",-241.356507120543,4679
"Mk25","5","Mk",-264.938448399662,4679
"HSPC25","5","HSPC",-783.296182706136,4679
"NK25","5","NK",-864.672840269278,4679
"B cell25","5","B cell",-1063.27307675884,4679
"Myeolocyte25","5","Myeolocyte",-1171.32181750843,4679
"Monocyte25","5","Monocyte",-1797.88260690732,4679
"EPC25","5","EPC",-2209.53834876896,4679
"B cell26","30","B cell",237.839061091263,128
"NK26","30","NK",76.2311172566907,128
"Mk26","30","Mk",-5.62314161765295,128
"T cell26","30","T cell",-7.21040441471543,128
"Stromal cell26","30","Stromal cell",-8.35192444160495,128
"HSPC26","30","HSPC",-17.4062018201608,128
"Myeolocyte26","30","Myeolocyte",-27.0405624401634,128
"Monocyte26","30","Monocyte",-53.650117972615,128
"EPC26","30","EPC",-58.3502580074409,128
"B cell27","27","B cell",174.368233846242,148
"EPC27","27","EPC",35.9953792767256,148
"Mk27","27","Mk",-4.44944952477119,148
"Stromal cell27","27","Stromal cell",-9.65691263560573,148
"HSPC27","27","HSPC",-18.9311604890679,148
"Myeolocyte27","27","Myeolocyte",-22.1286024024132,148
"NK27","27","NK",-34.930213376967,148
"Monocyte27","27","Monocyte",-70.0884721965999,148
"T cell27","27","T cell",-118.448067502848,148
"Monocyte28","28","Monocyte",246.795010383191,132
"EPC28","28","EPC",55.6853436634032,132
"Myeolocyte28","28","Myeolocyte",15.4510763918182,132
"Mk28","28","Mk",4.12952405280479,132
"NK28","28","NK",-4.12951988917981,132
"Stromal cell28","28","Stromal cell",-8.61292208040511,132
"HSPC28","28","HSPC",-17.6649890814634,132
"B cell28","28","B cell",-37.1048016929704,132
"T cell28","28","T cell",-100.333085855005,132
"Monocyte29","23","Monocyte",2454.53721729747,609
"Mk29","23","Mk",288.267514700755,609
"NK29","23","NK",32.9152268896541,609
"Stromal cell29","23","Stromal cell",-39.7368905073236,609
"HSPC29","23","HSPC",-95.6956816193948,609
"Myeolocyte29","23","Myeolocyte",-107.156659296029,609
"B cell29","23","B cell",-169.523358797966,609
"EPC29","23","EPC",-282.652091586571,609
"T cell29","23","T cell",-425.741292783103,609
"EPC30","18","EPC",1140.14662769968,930
"Myeolocyte30","18","Myeolocyte",748.593164637661,930
"HSPC30","18","HSPC",76.5532810094466,930
"Mk30","18","Mk",46.3669993668286,930
"Stromal cell30","18","Stromal cell",7.70681275421266,930
"Monocyte30","18","Monocyte",-11.2568476504817,930
"B cell30","18","B cell",-132.675969823908,930
"NK30","18","NK",-212.27447584581,930
"T cell30","18","T cell",-475.9995505747,930
