"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"352",0,2.68723752664769,0.984,0.38,0,"17","PLAC8"
"353",0,2.60577933791024,1,0.674,0,"17","CD74"
"354",0,2.59582355519849,0.938,0.223,0,"17","ALOX5AP"
"355",0,2.53823094666808,0.99,0.492,0,"17","SEC61B"
"356",0,2.53704396138501,0.884,0.06,0,"17","CCDC50"
"357",0,2.52981597844682,0.8,0.104,0,"17","SOX4"
"358",0,2.42366772136513,0.685,0.002,0,"17","SCT"
"359",0,2.39004884494269,0.794,0.064,0,"17","PPP1R14B"
"360",0,2.29862118330322,0.839,0.072,0,"17","APP"
"361",3.55460988256575e-249,3.29524833791942,0.981,0.261,1.1976902538317e-244,"18","STMN1"
"362",2.56774861612157e-87,2.73962881291476,0.825,0.353,8.65177218716003e-83,"18","GNLY"
"363",3.63226942084818e-139,2.58216019661305,0.985,0.526,1.22385685866059e-134,"18","TUBA1B"
"364",1.11317570063937e-176,2.53331394886216,0.719,0.14,3.75073420573429e-172,"18","GZMB"
"365",2.0551091254698e-178,2.4380169595671,0.84,0.202,6.92448468735793e-174,"18","GZMA"
"366",5.77148558147564e-135,2.28276590968119,0.947,0.394,1.9446443518224e-130,"18","TUBB"
"367",2.94186228386671e-216,2.2132875811229,0.821,0.166,9.91231077926049e-212,"18","PCNA"
"368",4.01773496591293e-66,2.19170716051161,0.726,0.309,1.3537356194147e-61,"18","HIST1H4C"
"369",5.97424392591218e-231,2.14633610665524,0.859,0.166,2.01296174839685e-226,"18","KIAA0101"
"370",3.42549057533724e-104,2.10735753998416,0.894,0.372,1.15418479445413e-99,"18","NKG7"
"371",2.39948734413334e-125,2.09529357078094,0.989,0.583,8.08483265732289e-121,"18","HMGB2"
"372",3.36505551442799e-123,2.06461460455257,0.962,0.542,1.13382180503137e-118,"18","H2AFZ"
"373",5.33109666100839e-286,2.01315108976473,0.814,0.123,1.79625970896017e-281,"18","TYMS"
"374",2.56642399583042e-282,1.99120850578325,0.734,0.091,8.64730901155103e-278,"18","PRF1"
"375",2.30860146242541e-152,1.98875878887319,0.951,0.359,7.77860176749617e-148,"18","DUT"
"376",2.82621991117565e-89,1.90778554347559,0.662,0.193,9.52266536871523e-85,"18","CCL4"
"377",6.22000337175966e-116,1.85409442525742,0.992,0.7,2.0957679360807e-111,"18","HMGN2"
"378",7.43877216191871e-273,1.85336601234706,0.677,0.088,2.50641989223689e-268,"18","TK1"
